,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Year
768,6,Corey Dillon,CIN,28,RB,16,16,314,1311,7,67,4.2,81.9,5,2002
769,34,Corey Dillon,CIN,29,rb,13,11,138,541,2,39,3.9,41.6,0,2003
770,4,Corey Dillon,NWE,30,RB,15,14,345,1635,12,44,4.7,109.0,5,2004
771,22,Corey Dillon,NWE,31,RB,12,10,209,733,12,29,3.5,61.1,1,2005
772,28,Corey Dillon,NWE,32,RB,16,13,199,812,13,50,4.1,50.8,2,2006
773,20,Warrick Dunn,TAM,22,RB,16,10,224,978,4,76,4.4,61.1,4,1997
774,20,Warrick Dunn,TAM,23,RB,16,14,245,1026,2,50,4.2,64.1,1,1998
775,23,Warrick Dunn,TAM,24,RB,15,15,195,616,0,33,3.2,41.1,3,1999
776,20,Warrick Dunn,TAM,25,RB,16,14,248,1133,8,70,4.6,70.8,1,2000
777,22,Warrick Dunn,ATL,27,RB,15,14,230,927,7,59,4.0,61.8,4,2002
778,38,Warrick Dunn,ATL,28,rb,11,6,125,672,3,69,5.4,61.1,2,2003
779,14,Warrick Dunn,ATL,29,RB,16,16,265,1106,9,60,4.2,69.1,3,2004
780,12,Warrick Dunn,ATL,30,RB,16,16,280,1416,3,65,5.1,88.5,3,2005
781,12,Warrick Dunn,ATL,31,RB,16,16,286,1140,4,90,4.0,71.3,1,2006
782,16,Warrick Dunn,ATL,32,RB,16,15,227,720,4,38,3.2,45.0,2,2007
783,27,Warrick Dunn,TAM,33,rb,15,6,186,786,2,40,4.2,52.4,0,2008
784,25,Antowain Smith,BUF,25,,16,0,194,840,8,56,4.3,52.5,4,1997
785,11,Antowain Smith,BUF,26,RB,16,14,300,1124,8,30,3.7,70.3,5,1998
786,25,Antowain Smith,BUF,27,rb,14,11,165,614,6,52,3.7,43.9,4,1999
787,11,Antowain Smith,NWE,29,RB,16,15,287,1157,12,44,4.0,72.3,4,2001
788,19,Antowain Smith,NWE,30,RB,16,15,252,982,6,42,3.9,61.4,2,2002
789,26,Antowain Smith,NWE,31,rb,13,6,182,642,3,30,3.5,49.4,1,2003
790,33,Antowain Smith,TEN,32,,13,4,137,509,4,43,3.7,39.2,2,2004
791,31,Antowain Smith,NOR,33,RB,16,7,166,659,3,42,4.0,41.2,2,2005
792,26,Fred Lane,CAR,22,RB,13,7,182,809,7,50,4.4,62.2,4,1997
793,25,Fred Lane,CAR,23,RB,14,11,205,717,5,31,3.5,51.2,4,1998
794,27,Mike Alstott,TAM,24,FB,15,15,176,665,7,47,3.8,44.3,5,1997
795,23,Mike Alstott,TAM,25,FB,16,16,215,846,8,37,3.9,52.9,5,1998
796,17,Mike Alstott,TAM,26,FB,16,16,242,949,7,30,3.9,59.3,6,1999
797,31,Mike Alstott,TAM,28,FB,16,16,165,680,10,39,4.1,42.5,2,2001
798,35,Mike Alstott,TAM,29,FB,16,9,146,548,5,32,3.8,34.3,4,2002
799,29,Ray Zellars,NOR,24,FB,16,16,156,552,4,27,3.5,34.5,6,1997
800,31,Tyrone Wheatley,NYG,25,RB,14,7,152,583,4,38,3.8,41.6,3,1997
801,18,Tyrone Wheatley,OAK,27,RB,16,9,242,936,8,30,3.9,58.5,3,1999
802,22,Tyrone Wheatley,OAK,28,RB,14,13,232,1046,9,80,4.5,74.7,4,2000
803,30,Tyrone Wheatley,OAK,31,rb,15,5,159,678,4,41,4.3,45.2,2,2003
804,32,Charles Way,NYG,25,FB,16,16,151,698,4,42,4.6,43.6,3,1997
805,33,Stephen Davis,WAS,23,rb,14,6,141,567,3,18,4.0,40.5,1,1997
806,8,Stephen Davis,WAS,25,RB,14,14,290,1405,17,76,4.8,100.4,4,1999
807,5,Stephen Davis,WAS,26,RB,15,15,332,1318,11,50,4.0,87.9,4,2000
808,1,Stephen Davis,WAS,27,RB,16,16,356,1432,5,32,4.0,89.5,6,2001
809,27,Stephen Davis,WAS,28,RB,12,12,207,820,7,33,4.0,68.3,4,2002
810,10,Stephen Davis,CAR,29,RB,14,14,318,1444,8,40,4.5,103.1,3,2003
811,27,Stephen Davis,CAR,31,rb,13,11,180,549,12,39,3.1,42.2,2,2005
812,34,Tiki Barber,NYG,22,rb,12,6,136,511,3,42,3.8,42.6,3,1997
813,24,Tiki Barber,NYG,25,RB,16,12,213,1006,8,78,4.7,62.9,9,2000
814,29,Tiki Barber,NYG,26,RB,14,9,166,865,4,36,5.2,61.8,8,2001
815,9,Tiki Barber,NYG,27,RB,16,15,304,1387,11,70,4.6,86.7,9,2002
816,15,Tiki Barber,NYG,28,RB,16,16,278,1216,2,27,4.4,76.0,9,2003
817,8,Tiki Barber,NYG,29,RB,16,14,322,1518,13,72,4.7,94.9,5,2004
818,3,Tiki Barber,NYG,30,RB,16,16,357,1860,9,95,5.2,116.3,1,2005
819,7,Tiki Barber,NYG,31,RB,16,16,327,1662,5,55,5.1,103.9,3,2006
820,12,Robert Edwards,NWE,24,RB,16,15,291,1115,9,53,3.8,69.7,5,1998
821,15,Fred Taylor,JAX,22,RB,15,12,264,1223,14,77,4.6,81.5,3,1998
822,28,Fred Taylor,JAX,23,rb,10,9,159,732,6,52,4.6,73.2,0,1999
823,13,Fred Taylor,JAX,24,RB,13,13,292,1399,12,71,4.8,107.6,4,2000
824,11,Fred Taylor,JAX,26,RB,16,16,287,1314,8,63,4.6,82.1,3,2002
825,5,Fred Taylor,JAX,27,RB,16,16,345,1572,6,62,4.6,98.3,6,2003
826,15,Fred Taylor,JAX,28,RB,14,14,260,1224,2,46,4.7,87.4,3,2004
827,25,Fred Taylor,JAX,29,RB,11,11,194,787,3,71,4.1,71.5,0,2005
828,23,Fred Taylor,JAX,30,RB,15,15,231,1146,5,76,5.0,76.4,3,2006
829,17,Fred Taylor,JAX,31,RB,15,15,223,1202,5,80,5.4,80.1,2,2007
830,37,Fred Taylor,JAX,32,RB,13,13,143,556,1,34,3.9,42.8,1,2008
831,17,Duce Staley,PHI,23,RB,16,13,258,1065,5,64,4.1,66.6,2,1998
832,4,Duce Staley,PHI,24,RB,16,16,325,1273,4,29,3.9,79.6,5,1999
833,30,Duce Staley,PHI,26,RB,13,10,166,604,2,44,3.6,46.5,3,2001
834,15,Duce Staley,PHI,27,RB,16,16,269,1029,5,57,3.8,64.3,3,2002
835,29,Duce Staley,PIT,29,rb,10,10,192,830,1,38,4.3,83.0,3,2004
836,21,Priest Holmes,BAL,25,RB,16,13,233,1008,7,56,4.3,63.0,3,1998
837,46,Priest Holmes,BAL,26,,9,4,89,506,1,72,5.7,56.2,0,1999
838,31,Priest Holmes,BAL,27,,16,2,137,588,2,21,4.3,36.8,2,2000
839,5,Priest Holmes,KAN,28,RB,16,16,327,1555,8,41,4.8,97.2,4,2001
840,7,Priest Holmes,KAN,29,RB,14,14,313,1615,21,56,5.2,115.4,1,2002
841,9,Priest Holmes,KAN,30,RB,16,16,320,1420,27,31,4.4,88.8,1,2003
842,27,Priest Holmes,KAN,31,RB,8,8,196,892,14,33,4.6,111.5,4,2004
843,27,Terrell Fletcher,SDG,25,rb,12,5,153,543,5,21,3.5,45.3,1,1998
844,29,Donnell Bennett,KAN,26,RB,16,10,148,527,5,26,3.6,32.9,4,1998
845,27,Donnell Bennett,KAN,27,rb,15,1,161,627,8,44,3.9,41.8,1,1999
846,30,John Avery,MIA,22,,16,0,143,503,2,44,3.5,31.4,5,1998
847,1,Edgerrin James,IND,21,RB,16,16,369,1553,13,72,4.2,97.1,8,1999
848,2,Edgerrin James,IND,22,RB,16,16,387,1709,13,30,4.4,106.8,5,2000
849,35,Edgerrin James,IND,23,rb,6,6,151,662,3,29,4.4,110.3,3,2001
850,13,Edgerrin James,IND,24,RB,14,14,277,989,2,20,3.6,70.6,4,2002
851,13,Edgerrin James,IND,25,RB,13,13,310,1259,11,43,4.1,96.8,5,2003
852,7,Edgerrin James,IND,26,RB,16,16,334,1548,9,40,4.6,96.8,6,2004
853,2,Edgerrin James,IND,27,RB,15,15,360,1506,13,33,4.2,100.4,2,2005
854,5,Edgerrin James,ARI,28,RB,16,16,337,1159,6,18,3.4,72.4,3,2006
855,2,Edgerrin James,ARI,29,RB,16,16,324,1222,7,27,3.8,76.4,5,2007
856,39,Edgerrin James,ARI,30,RB,13,7,133,514,3,35,3.9,39.5,2,2008
857,9,Curtis Enis,CHI,23,RB,15,12,287,916,3,19,3.2,61.1,4,1999
858,11,Olandis Gary,DEN,24,RB,12,12,276,1159,7,71,4.2,96.6,2,1999
859,15,Ricky Williams,NOR,22,RB,12,12,253,884,2,25,3.5,73.7,6,1999
860,21,Ricky Williams,NOR,23,RB,10,10,248,1000,8,26,4.0,100.0,6,2000
861,8,Ricky Williams,NOR,24,RB,16,16,313,1245,6,46,4.0,77.8,8,2001
862,1,Ricky Williams,MIA,25,RB,16,16,383,1853,16,63,4.8,115.8,7,2002
863,1,Ricky Williams,MIA,26,RB,16,16,392,1372,9,45,3.5,85.8,7,2003
864,30,Ricky Williams,MIA,28,rb,12,3,168,743,6,35,4.4,61.9,1,2005
865,31,Ricky Williams,MIA,31,rb,16,3,160,659,4,51,4.1,41.2,5,2008
866,12,Ricky Williams,MIA,32,rb,16,7,241,1121,11,68,4.7,70.1,5,2009
867,32,Ricky Williams,MIA,33,,16,0,159,673,2,45,4.2,42.1,4,2010
868,22,Jonathan Linton,BUF,25,RB,16,2,205,695,5,18,3.4,43.4,4,1999
